Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Volume,Has Bandstructure,Crystal System
mp-763492,Li3CoSiO5,P21nb,-2.418,0.033,1.176,40,2.941,424.186,TRUE,orthorhombic
mp-762880,LiCoSiO4,Pn21a,-2.376,0.06,1.422,28,3.033,345.946,TRUE,orthorhombic
mp-763240,LiCoSiO4,C2221,-2.374,0.062,1.265,14,2.98,176.01,TRUE,orthorhombic
mp-543100,LiCoSiO4,Pbn21,-2.371,0.065,1.398,28,2.985,351.446,TRUE,orthorhombic
mp-763443,Li2Co(SiO3)2,Fdd2,-2.675,0.065,2.969,66,2.861,783.351,TRUE,orthorhombic
mp-763589,LiCoSiO4,Pb21a,-2.37,0.066,1.194,56,3.014,696.129,TRUE,orthorhombic
mp-763584,LiCoSiO4,Pb21a,-2.369,0.067,1.31,56,3.029,692.711,TRUE,orthorhombic
mp-772320,Li2CoSiO4,Pca21,-2.467,0.07,2.916,64,3.046,719.179,TRUE,orthorhombic
mp-763369,Li2Co2Si2O7,C2cm,-2.455,0.07,2.344,26,3.213,309.993,TRUE,orthorhombic
mp-779191,LiCoSiO4,Pbn21,-2.365,0.07,1.527,28,3.029,346.421,FALSE,orthorhombic
mp-763386,Li2Co2Si2O7,C2cm,-2.453,0.072,2.84,26,3.579,278.304,TRUE,orthorhombic
mp-763376,Li2Co(Si2O5)2,P212121,-2.858,0.075,3.273,68,2.37,967.213,TRUE,orthorhombic
mp-763406,Li2Co2(SiO3)3,Pnma,-2.591,0.076,2.744,64,2.658,899.635,TRUE,orthorhombic
mp-762722,LiCoSiO4,P21nb,-2.353,0.082,1.411,28,3.112,337.098,TRUE,orthorhombic
mp-762892,LiCoSiO4,Pcmn,-2.352,0.083,0.77,28,3.736,280.858,TRUE,orthorhombic
mp-763260,LiCoSiO4,Pc21n,-2.352,0.083,1.367,28,2.935,357.496,TRUE,orthorhombic
mp-762888,LiCoSiO4,Cmcm,-2.351,0.084,0.871,14,3.762,139.432,TRUE,orthorhombic
mp-779192,LiCoSiO4,P21nb,-2.351,0.084,1.323,28,3,349.762,TRUE,orthorhombic
mp-763360,Li2Co2(SiO3)3,Pnma,-2.574,0.094,2.842,64,3.249,735.894,TRUE,orthorhombic
mp-762860,LiCoSiO4,Pcmn,-2.339,0.097,0.736,28,3.605,291.06,TRUE,orthorhombic
mp-762247,LiCoSiO4,P212121,-2.327,0.109,0.702,28,3.203,327.583,TRUE,orthorhombic
mp-762883,LiCoSiO4,Imcm,-2.291,0.144,0.511,14,4.15,126.395,TRUE,orthorhombic
mp-763534,Li2Co2SiO6,Ccme,-2.012,0.19,0.717,22,3.927,216.338,TRUE,orthorhombic
mp-767711,Li2Mn2Si4O11,P1,-2.904,0.012,0.904,38,3.098,441.742,TRUE,triclinic
mp-868265,Li2Mn4Si4O13,P1,-2.755,0.019,2.346,46,3.481,528.536,TRUE,triclinic
mp-761470,Li2Mn2Si5O13,P1,-2.946,0.02,3.286,44,3.009,521.131,TRUE,triclinic
mp-868673,Li15Mn15SiO32,P1,-2.194,0.028,0.311,63,4.093,595.723,FALSE,triclinic
mp-761381,Li2Mn5(Si2O7)2,P1,-2.69,0.031,0,25,3.434,302.156,TRUE,triclinic
mp-766967,Li2Mn3(Si3O8)2,P1,-2.894,0.043,2.865,54,3.012,665.118,TRUE,triclinic
mp-767443,Li2Mn5Si5O16,P1,-2.736,0.045,2.164,28,2.985,381.117,TRUE,triclinic
mp-850240,Li2Mn3(SiO4)2,P1,-2.61,0.05,2.045,45,3.062,590.331,TRUE,triclinic
mp-850159,Li2Mn(Si2O5)2,P1,-2.958,0.054,3.036,34,2.633,430.361,TRUE,triclinic
mp-761439,LiMn(SiO3)2,P1,-2.801,0.059,0.714,80,3.314,858.022,TRUE,triclinic
mp-768071,Li5Mn17(SiO16)2,P1,-2.172,0.059,0.348,56,4.201,607.507,TRUE,triclinic
mp-761417,Li2Mn2Si4O11,P1,-2.847,0.069,0,38,2.897,472.42,TRUE,triclinic
mp-868526,Li9Mn5(SiO8)2,P1,-2.372,0.07,1.154,32,3.706,290.951,TRUE,triclinic
mp-767282,Li2MnSi3O8,P1,-2.872,0.082,2.655,14,2.497,186.943,TRUE,triclinic
mp-761967,LiMnSi3O8,P1,-2.868,0.09,1.055,26,2.963,307.264,FALSE,triclinic
mp-767982,Li3Mn2(SiO4)2,P1,-2.605,0.09,0,15,2.938,177.985,TRUE,triclinic
mp-761430,Li7Mn11(Si3O16)2,P1,-2.439,0.092,0.361,56,3.909,566.407,FALSE,triclinic
mp-780147,LiMnSiO4,P1,-2.58,0.098,0.995,28,3.294,310.44,TRUE,triclinic
mp-767274,Li3MnSi2O7,P1,-2.68,0.099,1.161,13,2.709,149.499,TRUE,triclinic
mp-780196,LiMnSiO4,P1,-2.577,0.1,0.409,28,2.984,342.663,TRUE,triclinic
mp-761735,Li2Fe2Si4O11,P1,-2.837,0.013,1.892,38,3.189,431.059,TRUE,triclinic
mp-765915,LiFe(SiO3)2,P1,-2.791,0.03,3.056,20,2.2,324.509,TRUE,triclinic
mp-868566,LiFe(SiO3)2,P1,-2.79,0.031,2.427,30,3.193,335.392,TRUE,triclinic
mp-761402,Li2Fe5(Si2O7)2,P1,-2.563,0.031,0,25,3.492,299.319,TRUE,triclinic
mp-761459,LiFeSi3O8,P1,-2.896,0.032,3.342,26,2.76,330.953,FALSE,triclinic
mp-761705,Li2Fe4Si4O13,P1,-2.632,0.032,3.118,46,3.599,514.551,FALSE,triclinic
mp-761475,Li2Fe2Si5O13,P1,-2.875,0.034,3.394,44,3.086,510.174,TRUE,triclinic
mp-773691,LiFe(SiO3)2,P1,-2.785,0.036,2.596,80,3.251,878.288,FALSE,triclinic
mp-767996,Li3Fe2(SiO4)2,P1,-2.585,0.039,1.626,15,2.951,178.21,TRUE,triclinic
mp-761820,LiFeSi3O8,P1,-2.886,0.041,3.16,26,2.703,337.873,TRUE,triclinic
mp-767726,Li2Fe2Si3O10,P1,-2.694,0.044,2.325,34,2.821,435.364,TRUE,triclinic
mp-763810,Li17Fe6(Si2O7)6,P1,-2.691,0.046,0,77,2.868,846.546,FALSE,triclinic
mp-767707,Li2Fe5Si5O16,P1,-2.62,0.049,2.117,28,3.101,369.232,TRUE,triclinic
mp-761382,Li2Fe3(Si3O8)2,P1,-2.817,0.05,2.826,54,3.088,651.656,TRUE,triclinic
mp-762716,Li2Fe3(SiO4)2,P1,-2.482,0.051,2.23,45,3.204,568.378,TRUE,triclinic
mp-780681,LiFe3(SiO4)2,P1,-2.468,0.058,0.631,42,3.133,570.329,TRUE,triclinic
mp-763739,Li3Fe2(SiO4)2,P1,-2.565,0.059,1.14,15,3.034,173.298,TRUE,triclinic
mp-761622,Li7Fe7SiO16,P1,-2.144,0.06,1.955,31,3.232,371.739,TRUE,triclinic
mp-768001,Li6Fe(SiO4)2,P1,-2.595,0.063,3.736,17,2.678,174.618,TRUE,triclinic
mp-772589,Li2Fe(Si2O5)2,P1,-2.911,0.064,3.079,34,2.633,431.422,FALSE,triclinic
mp-764102,Li3Fe2(SiO4)2,P1,-2.558,0.066,0.931,30,2.911,361.337,TRUE,triclinic
mp-761513,LiFeSi3O8,P1,-2.859,0.068,2.413,26,2.896,315.39,FALSE,triclinic
mp-850922,Li3Fe2(SiO4)2,P1,-2.555,0.069,1.854,15,2.925,179.798,TRUE,triclinic
mp-762655,LiFeSiO4,P1,-2.551,0.071,2.292,28,2.969,346.461,TRUE,triclinic
mp-763637,Li4Fe2SiO7,P1,-2.356,0.071,1.851,14,3.787,122.581,TRUE,triclinic
mp-767328,Li5Fe5Si7O24,P1,-2.647,0.072,2.373,41,2.501,593.87,TRUE,triclinic
mp-868319,Li5Fe5Si7O24,P1,-2.646,0.072,2.598,41,2.546,583.402,TRUE,triclinic
mp-863852,Li5Fe5Si7O24,P1,-2.646,0.073,2.391,41,2.55,582.533,TRUE,triclinic
mp-772382,Li2FeSi3O8,P1,-2.833,0.076,3.041,14,2.524,185.499,TRUE,triclinic
mp-766744,Li2Fe2Si4O11,P1,-2.768,0.081,0,38,2.958,464.73,TRUE,triclinic
mp-779820,Li3Fe4(Si3O10)2,P1,-2.633,0.082,0.054,33,2.777,438.109,TRUE,triclinic
mp-868418,Li2FeSi3O8,P1,-2.826,0.082,0,28,2.507,373.616,TRUE,triclinic
mp-773385,Li3FeSiO5,P1,-2.486,0.083,2.254,20,3.575,171.619,TRUE,triclinic
mp-767276,Li5Fe5Si7O24,P1,-2.635,0.084,1.827,41,2.433,610.604,TRUE,triclinic
mp-762704,Li4Fe(SiO4)2,P1,-2.543,0.089,0.232,15,2.781,159.895,FALSE,triclinic
mp-767753,Li2Fe2Si8O19,P1,-2.927,0.091,3.508,31,2.776,391.367,TRUE,triclinic
mp-762705,Li3FeSiO5,P1,-2.474,0.094,2.173,20,3.615,169.712,TRUE,triclinic
mp-762768,Li9Fe4(SiO5)4,P1,-2.391,0.094,0.005,37,2.617,455.754,FALSE,triclinic
mp-778793,Li4Fe3(SiO4)3,P1,-2.524,0.099,0.976,22,3.031,258.368,TRUE,triclinic
mp-761351,Li2Fe(Si2O5)3,P1,-2.882,0.104,0.189,24,2.624,302.599,FALSE,triclinic
mp-761343,Li16Fe4SiO16,P1,-2.132,0.106,2.139,37,2.668,384.899,TRUE,triclinic
mp-762762,LiFe2(SiO4)2,P1,-2.426,0.114,0,39,2.753,547.911,FALSE,triclinic
mp-761348,Li7Fe7SiO16,P1,-2.087,0.118,1.492,31,3.233,371.607,TRUE,triclinic
mp-763462,Li2Co3(SiO4)2,P1,-2.343,0.024,2.47,45,3.408,547.959,TRUE,triclinic
mp-762851,Li3Co2(SiO4)2,P1,-2.441,0.055,0.376,15,3.088,173.602,TRUE,triclinic
mp-764452,Li3Co2(SiO4)2,P1,-2.439,0.057,0.23,15,3.024,177.312,TRUE,triclinic
mp-770682,Li2Co(Si2O5)2,P1,-2.862,0.07,3.06,34,2.74,418.368,TRUE,triclinic
mp-764961,Li6Co(SiO4)2,P1,-2.545,0.071,2.685,17,2.753,171.772,TRUE,triclinic
mp-849520,LiCo3(SiO4)2,P1,-2.25,0.076,0.005,42,3.318,552.402,TRUE,triclinic
mp-849656,Li5Co4(Si3O10)2,P1,-2.529,0.082,0.176,35,2.94,428.648,TRUE,triclinic
mp-763557,LiCoSiO4,P1,-2.348,0.087,1.333,14,2.451,214.044,TRUE,triclinic
mp-767320,Li3Co2(SiO4)2,P1,-2.406,0.09,0.323,15,3.043,176.207,FALSE,triclinic
